Index,Vocab-expression,Vocab-kana,Vocab-meaning,Sentence-expression,Sentence-kana,Sentence-meaning,Vocab-furigana,Sentence-furigana,Sentence-Cloze
29,帰る,かえる,"return, go back",家に<b>帰ろう</b>。,うち に <b>かえろう</b>,Let's go home.,帰[かえ]る,家[うち]に<b> 帰[かえ]ろう</b>。,家[うち]に<b>（　）</b>。
30,元気,げんき,"healthy, energetic",おかげさまで<b>元気</b>です。,おかげさま で <b>げんき</b> です,"I'm fine, thank you.",元気[げんき],おかげさまで<b> 元気[げんき]</b>です。,おかげさまで<b>（　）</b>です。
31,天気,てんき,weather,今日はいい<b>天気</b>ですね。,きょう は いい <b>てんき</b> です ね,It's nice out today.,天気[てんき],今日[きょう]はいい<b> 天気[てんき]</b>ですね。,今日[きょう]はいい<b>（　）</b>ですね。
32,少ない,すくない,"few, little",今年は雨が<b>少ない</b>です。,ことし は あめ が <b>すくない</b> です 。,There's not much rain this year.,少[すく]ない,今年[ことし]は 雨[あめ]が<b> 少[すく]ない</b>です。,今年[ことし]は 雨[あめ]が<b>（　）</b>です。
33,晴れる,はれる,"be sunny, clear up",明日は<b>晴れる</b>といいですね。,あした は <b>はれる</b> と いい です ね,I hope it'll be sunny tomorrow.,晴[は]れる,明日[あした]は<b> 晴[は]れる</b>といいですね。,明日[あした]は<b>（　）</b>といいですね。
34,上,うえ,"up, above",<b>上</b>を向いて。,<b>うえ</b> を むいて,Look up.,上[うえ],<b> 上[うえ]</b>を 向[む]いて。,<b>（　）</b>を 向[む]いて。
35,ドア,ドア,door,<b>ドア</b>を開けてください。,<b>どあ</b> を あけて ください,Please open the door.,ドア,<b>ドア</b>を 開[あ]けてください。,<b>（　）</b>を 開[あ]けてください。
36,開く,ひらく,open,32ページを<b>開いて</b>ください。,さんじゅうにぺーじ を <b>ひらいて</b> ください,Please open to page 32.,開[ひら]く,32[さんじゅうに]ページを<b> 開[ひら]いて</b>ください。,32[さんじゅうに]ページを<b>（　）</b>ください。
37,口,くち,mouth,<b>口</b>を大きく開けてください。,<b>くち</b> を おおきく あけて ください,"Open wide, please.",口[くち],<b> 口[くち]</b>を 大[おお]きく 開[あ]けてください。,<b>（　）</b>を 大[おお]きく 開[あ]けてください。
38,閉める,しめる,"shut, close",ちゃんとドアを<b>閉めて</b>よ。,ちゃんと どあ を <b>しめて</b>よ,Close the door properly.,閉[し]める,ちゃんとドアを<b> 閉[し]めて</b>よ。,ちゃんとドアを<b>（　）</b>よ。
39,時間,じかん,"time, hour",今は<b>時間</b>がありません。,いま は <b>じかん</b> が ありません,I don't have time now.,時間[じかん],今[いま]は<b> 時間[じかん]</b>がありません。,今[いま]は<b>（　）</b>がありません。
40,六日,むいか,"six days, 6th of the month",<b>六日</b>前に日本に帰ってきました。,<b>むいか</b>まえ に にほん に かえって きました,I came back to Japan six days ago.,六日[むいか],<b> 六日[むいか]</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。,<b>（　）</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。
41,後ろ,うしろ,"back, behind",<b>後ろ</b>を向いて。,<b>うしろ</b> を むいて,Turn around.,後[うし]ろ,<b> 後[うし]ろ</b>を 向[む]いて。,<b>（　）</b>を 向[む]いて。
42,十日,とおか,"ten days, 10th of the month",<b>十日</b>後に帰ります。,<b>とおか</b>ご に かえります,I'll come home in ten days.,十日[とおか],<b> 十日[とおか]</b> 後[ご]に 帰[かえ]ります。,<b>（　）</b> 後[ご]に 帰[かえ]ります。
43,午前,ごぜん,"morning, a.m.",<b>午前</b>9時のニュースです。,<b>ごぜん</b> くじ の にゅーす です,And now for the 9.00 a.m. news.,午前[ごぜん],<b> 午前[ごぜん]</b> 9時[くじ]のニュースです。,<b>（　）</b> 9時[くじ]のニュースです。
44,今晩,こんばん,"this evening, tonight",<b>今晩</b>のパーティーは何時からですか。,<b>こんばん</b> の ぱーてぃー は なんじ から です か,From what time is the party tonight?,今晩[こんばん],<b> 今晩[こんばん]</b>のパーティーは 何時[なんじ]からですか。,<b>（　）</b>のパーティーは 何時[なんじ]からですか。
45,土曜日,どようび,Saturday,<b>土曜日</b>の夜はクラブに行きます。,<b>どようび</b> の よる は くらぶ に いきます,I'm going to a club Saturday night.,土曜日[どようび],<b> 土曜日[どようび]</b>の 夜[よる]はクラブに 行[い]きます。,<b>（　）</b>の 夜[よる]はクラブに 行[い]きます。
46,金曜日,きんようび,Friday,<b>金曜日</b>の夜は友達と出かけます。,<b>きんようび</b> の よる は ともだち と でかけます,I go out with my friends on Friday nights.,金曜日[きんようび],<b> 金曜日[きんようび]</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。,<b>（　）</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。
47,月,つき,moon,今夜は<b>月</b>がとてもきれいです。,こんや は <b>つき</b> が とても きれい です,The moon looks so beautiful tonight.,月[つき],今夜[こんや]は<b> 月[つき]</b>がとてもきれいです。,今夜[こんや]は<b>（　）</b>がとてもきれいです。
48,夜,よる,night (from sunset to sunrise),きのうの<b>夜</b>は家にいました。,きのう の <b>よる</b> は いえ に いました,I was at home last night.,夜[よる],きのうの<b> 夜[よる]</b>は 家[いえ]にいました。,きのうの<b>（　）</b>は 家[いえ]にいました。
49,食べる,たべる,eat,昨日タイカレーを<b>食べました</b>。,きのう たいかれー を <b>たべました</b>,I had Thai curry yesterday.,食[た]べる,昨日[きのう]タイカレーを<b> 食[た]べました</b>。,昨日[きのう]タイカレーを<b>（　）</b>。
50,何,なに,"what, which",夕食には<b>何</b>を食べたいですか。,ゆうしょく に は <b>なに</b> を たべたい です か,What would you like for supper?,何[なに],夕食[ゆうしょく]には<b> 何[なに]</b>を 食[た]べたいですか。,夕食[ゆうしょく]には<b>（　）</b>を 食[た]べたいですか。
51,晩,ばん,evening (usually from sunset to bedtime),<b>晩</b>ご飯は食べましたか。,<b>ばん</b>ごはん は たべました か,Have you had dinner?,晩[ばん],<b> 晩[ばん]</b>ご 飯[はん]は 食[た]べましたか。,<b>（　）</b>ご 飯[はん]は 食[た]べましたか。
52,ご飯,ごはん,"cooked rice, meal",私はパンより<b>ご飯</b>が好きだ。,わたし は ぱん より <b>ごはん</b> が すき だ,I prefer rice to bread.,ご 飯[はん],私[わたし]はパンより<b>ご 飯[はん]</b>が 好[す]きだ。,私[わたし]はパンより<b>（　）</b>が 好[す]きだ。
53,三つ,みっつ,three (things),コップを<b>三つ</b>買いました。,こっぷ を <b>みっつ</b> かいました,I bought three glasses.,三[みっ]つ,コップを<b> 三[みっ]つ</b> 買[か]いました。,コップを<b>（　）</b> 買[か]いました。
54,昼,ひる,"daytime, midday",私は<b>昼</b>のドラマを毎日見ます。,わたし は <b>ひる</b> の どらま を まいにち みます,I watch daytime dramas every day.,昼[ひる],私[わたし]は<b> 昼[ひる]</b>のドラマを 毎日見[まいにち み]ます。,私[わたし]は<b>（　）</b>のドラマを 毎日見[まいにち み]ます。
55,見つかる,みつかる,"be found, be caught",メガネが<b>見つかりません</b>。,めがね が <b>みつかりません</b>,I can't find my glasses.,見[み]つかる,メガネが<b> 見[み]つかりません</b>。,メガネが<b>（　）</b>。
56,それ,それ,"that, that one",<b>それ</b>はとってもいい話だ。,<b>それ</b> は とっても いい はなし だ,That's a really nice story.,それ,<b>それ</b>はとってもいい 話[はなし]だ。,<b>（　）</b>はとってもいい 話[はなし]だ。
57,男,おとこ,"man, male",<b>男</b>の人が私たちに話しかけた。,<b>おとこ</b> の ひと が わたしたち に はなしかけた,This guy began talking to us.,男[おとこ],<b> 男[おとこ]</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。,<b>（　）</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。
58,今週,こんしゅう,this week,<b>今週</b>は日本語のテストがあります。,<b>こんしゅう</b> は にほんご の てすと が あります,There's a Japanese test this week.,今週[こんしゅう],<b> 今週[こんしゅう]</b>は 日本語[にほんご]のテストがあります。,<b>（　）</b>は 日本語[にほんご]のテストがあります。
59,こう,こう,"like this, this kind of",<b>こう</b>小さい字は読めない。,<b>こう</b> ちいさい じ は よめない,I can't read such small letters.,こう,<b>こう</b> 小[ちい]さい 字[じ]は 読[よ]めない。,<b>（　）</b> 小[ちい]さい 字[じ]は 読[よ]めない。
60,会う,あう,meet,また<b>会いましょう</b>。,また <b>あいましょう</b>,Let's meet again.,会[あ]う,また<b> 会[あ]いましょう</b>。,また<b>（　）</b>。
61,月曜日,げつようび,Monday,<b>月曜日</b>に会いましょう。,<b>げつようび</b> に あいましょう,Let's meet on Monday.,月曜日[げつようび],<b> 月曜日[げつようび]</b>に 会[あ]いましょう。,<b>（　）</b>に 会[あ]いましょう。
62,昨日,きのう,yesterday,<b>昨日</b>、友達に会った。,<b>きのう</b> ともだち に あった,I met a friend yesterday.,昨日[きのう],<b> 昨日[きのう]</b>、 友達[ともだち]に 会[あ]った。,<b>（　）</b>、 友達[ともだち]に 会[あ]った。
63,休む,やすむ,"take a day off, take a break",明日、会社を<b>休みます</b>。,あした かいしゃ を <b>やすみます</b>,I'm off work tomorrow.,休[やす]む,明日[あした]、 会社[かいしゃ]を<b> 休[やす]みます</b>。,明日[あした]、 会社[かいしゃ]を<b>（　）</b>。
64,今日,きょう,today,<b>今日</b>は仕事がありません。,<b>きょう</b> は しごと が ありません,I have no work today.,今日[きょう],<b> 今日[きょう]</b>は 仕事[しごと]がありません。,<b>（　）</b>は 仕事[しごと]がありません。
65,木曜日,もくようび,Thursday,<b>木曜日</b>は仕事が休みです。,<b>もくようび</b> は しごと が やすみ です,Thursday is my day off work.,木曜日[もくようび],<b> 木曜日[もくようび]</b>は 仕事[しごと]が 休[やす]みです。,<b>（　）</b>は 仕事[しごと]が 休[やす]みです。
66,場合,ばあい,"situation, case",分からない<b>場合</b>は私に聞いてください。,わからない <b>ばあい</b> は わたし に きいて ください,Please ask me if you don't understand.,場合[ばあい],分[わ]からない<b> 場合[ばあい]</b>は 私[わたし]に 聞[き]いてください。,分[わ]からない<b>（　）</b>は 私[わたし]に 聞[き]いてください。
67,つける,つける,switch on,電気を<b>つけて</b>ください。,でんき を <b>つけて</b> ください,Please turn on the light.,つける,電気[でんき]を<b>つけて</b>ください。,電気[でんき]を<b>（　）</b>ください。
68,駅,えき,railway station,<b>駅</b>はどこですか。,<b>えき</b> は どこ です か,Where's the station?,駅[えき],<b> 駅[えき]</b>はどこですか。,<b>（　）</b>はどこですか。
69,止める,やめる,"stop, give up, abolish",話すのを<b>止めて</b>ください。,はなす の を <b>やめて</b> ください,"Stop talking, please.",止[や]める,話[はな]すのを<b> 止[や]めて</b>ください。,話[はな]すのを<b>（　）</b>ください。
70,歩く,あるく,"walk, go on foot",駅まで<b>歩きましょう</b>。,えき まで <b>あるきましょう</b>,Let's walk to the station.,歩[ある]く,駅[えき]まで<b> 歩[ある]きましょう</b>。,駅[えき]まで<b>（　）</b>。
71,近く,ちかく,"near, close to",駅の<b>近く</b>で食事をした。,えき の <b>ちかく</b> で しょくじ を した,I ate near the station.,近[ちか]く,駅[えき]の<b> 近[ちか]く</b>で 食事[しょくじ]をした。,駅[えき]の<b>（　）</b>で 食事[しょくじ]をした。
72,もっと,もっと,more,<b>もっと</b>近くに来てください。,<b>もっと</b> ちかく に きて ください,Please come closer.,もっと,<b>もっと</b> 近[ちか]くに 来[き]てください。,<b>（　）</b> 近[ちか]くに 来[き]てください。
73,近い,ちかい,"near, soon",駅はここから<b>近い</b>です。,えき は ここ から <b>ちかい</b> です,The station is near here.,近[ちか]い,駅[えき]はここから<b> 近[ちか]い</b>です。,駅[えき]はここから<b>（　）</b>です。
74,近く,ちかく,"vicinity, nearby",私の家は駅の<b>近く</b>です。,わたし の いえ は えき の <b>ちかく</b> です,My house is near the station.,近[ちか]く,私[わたし]の 家[いえ]は 駅[えき]の<b> 近[ちか]く</b>です。,私[わたし]の 家[いえ]は 駅[えき]の<b>（　）</b>です。
75,全部,ぜんぶ,"all, wholly",それ、<b>全部</b>ください。,それ <b>ぜんぶ</b> ください,"I'd like all of those, please.",全部[ぜんぶ],それ、<b> 全部[ぜんぶ]</b>ください。,それ、<b>（　）</b>ください。
76,国,くに,country,私の<b>国</b>について少しお話しましょう。,わたし の <b>くに</b> に ついて すこし おはなし しましょう,Let me tell you a bit about my country.,国[くに],私[わたし]の<b> 国[くに]</b>について 少[すこ]しお 話[はなし]しましょう。,私[わたし]の<b>（　）</b>について 少[すこ]しお 話[はなし]しましょう。
77,漢字,かんじ,"character, kanji",<b>漢字</b>は中国から来ました。,<b>かんじ</b> は ちゅうごく から きました,Kanji came from China.,漢字[かんじ],<b> 漢字[かんじ]</b>は 中国[ちゅうごく]から 来[き]ました。,<b>（　）</b>は 中国[ちゅうごく]から 来[き]ました。
78,赤い,あかい,red,<b>赤い</b>バラを買いました。,<b>あかい</b> ばら を かいました,I bought a red rose.,赤[あか]い,<b> 赤[あか]い</b>バラを 買[か]いました。,<b>（　）</b>バラを 買[か]いました。
79,どちら,どちら,which,肉と魚と<b>どちら</b>が好きですか。,にく と さかな と <b>どちら</b> が すき です か,"Which do you prefer, meat or fish?",どちら,肉[にく]と 魚[さかな]と<b>どちら</b>が 好[す]きですか。,肉[にく]と 魚[さかな]と<b>（　）</b>が 好[す]きですか。
80,米,こめ,rice (grain),日本人はお<b>米</b>が大好きです。,にほんじん は お<b>こめ</b> が だいすき です,Japanese people love rice.,米[こめ],日本人[にほんじん]はお<b> 米[こめ]</b>が 大好[だいす]きです。,日本人[にほんじん]はお<b>（　）</b>が 大好[だいす]きです。
81,まずい,まずい,"bad-tasting, bad",ここの料理は<b>まずい</b>。,ここ の りょうり は <b>まずい</b>,The food here is bad.,まずい,ここの 料理[りょうり]は<b>まずい</b>。,ここの 料理[りょうり]は<b>（　）</b>。
82,無い,ない,to not be,ここには何も<b>無い</b>。,ここ に は なに も <b>ない</b>,There's nothing here.,無[な]い,ここには 何[なに]も<b> 無[な]い</b>。,ここには 何[なに]も<b>（　）</b>。
83,作る,つくる,"make, create",今、朝ご飯を<b>作っています</b>。,いま あさごはん を <b>つくって います</b>,I'm making breakfast now.,作[つく]る,今[いま]、 朝[あさ]ご 飯[はん]を<b> 作[つく]っています</b>。,今[いま]、 朝[あさ]ご 飯[はん]を<b>（　）</b>。
84,使う,つかう,use,このパソコンを<b>使って</b>ください。,この ぱそこん を <b>つかって</b> ください,Please use this computer.,使[つか]う,このパソコンを<b> 使[つか]って</b>ください。,このパソコンを<b>（　）</b>ください。
85,消す,けす,"switch off, turn off",昼間は電気を<b>消して</b>ください。,ひるま は でんき を <b>けして</b> ください,Please turn the lights off during the day.,消[け]す,昼間[ひるま]は 電気[でんき]を<b> 消[け]して</b>ください。,昼間[ひるま]は 電気[でんき]を<b>（　）</b>ください。
86,閉まる,しまる,"be shut, be closed",お店はもう<b>閉まっていました</b>。,おみせ は もう <b>しまって いました</b>,The shop had already closed.,閉[し]まる,お 店[みせ]はもう<b> 閉[し]まっていました</b>。,お 店[みせ]はもう<b>（　）</b>。
87,前,まえ,"front, before",その店の<b>前</b>で会いましょう。,その みせ の <b>まえ</b> で あいましょう,Let's meet in front of the shop.,前[まえ],その 店[みせ]の<b> 前[まえ]</b>で 会[あ]いましょう。,その 店[みせ]の<b>（　）</b>で 会[あ]いましょう。
88,店,みせ,"shop, store",私はこの<b>店</b>によく来ます。,わたし は この <b>みせ</b> に よく きます,I come to this store quite often.,店[みせ],私[わたし]はこの<b> 店[みせ]</b>によく 来[き]ます。,私[わたし]はこの<b>（　）</b>によく 来[き]ます。
89,部屋,へや,room,私の<b>部屋</b>は2階にあります。,わたし の <b>へや</b> は にかい に あります,My room is on the second floor.,部屋[へや],私[わたし]の<b> 部屋[へや]</b>は 2階[にかい]にあります。,私[わたし]の<b>（　）</b>は 2階[にかい]にあります。
90,夏,なつ,summer,私は<b>夏</b>が大好き。,わたし は <b>なつ</b> が だいすき,I just love summer.,夏[なつ],私[わたし]は<b> 夏[なつ]</b>が 大好[だいす]き。,私[わたし]は<b>（　）</b>が 大好[だいす]き。
91,暑い,あつい,"hot, warm (temperature of the air)",今日はとても<b>暑い</b>。,きょう は とても <b>あつい</b>,It's very hot today.,暑[あつ]い,今日[きょう]はとても<b> 暑[あつ]い</b>。,今日[きょう]はとても<b>（　）</b>。
92,熱い,あつい,"hot (things, touch)",このスープはとても<b>熱い</b>。,この すーぷ は とても <b>あつい</b>,This soup is very hot.,熱[あつ]い,このスープはとても<b> 熱[あつ]い</b>。,このスープはとても<b>（　）</b>。
93,冬,ふゆ,winter,カナダの<b>冬</b>はとても寒いです。,かなだ の <b>ふゆ</b> は とても さむい です,Canada's winters are very cold.,冬[ふゆ],カナダの<b> 冬[ふゆ]</b>はとても 寒[さむ]いです。,カナダの<b>（　）</b>はとても 寒[さむ]いです。
94,入る,はいる,enter,寒いので中に<b>入って</b>ください。,さむい の で なか に <b>はいって</b> ください,It's cold so please come inside.,入[はい]る,寒[さむ]いので 中[なか]に<b> 入[はい]って</b>ください。,寒[さむ]いので 中[なか]に<b>（　）</b>ください。
95,寒い,さむい,cold (temperature of the air),この部屋は<b>寒い</b>です。,この へや は <b>さむい</b> です,It's cold in this room.,寒[さむ]い,この 部屋[へや]は<b> 寒[さむ]い</b>です。,この 部屋[へや]は<b>（　）</b>です。
96,春,はる,spring,今年の<b>春</b>は暖かいね。,ことし の <b>はる</b> は あたたかい ね,"It's warm this spring, isn't it.",春[はる],今年[ことし]の<b> 春[はる]</b>は 暖[あたた]かいね。,今年[ことし]の<b>（　）</b>は 暖[あたた]かいね。
97,暖かい,あたたかい,warm,このコートはとても<b>暖かい</b>。,この こーと は とても <b>あたたかい</b>。,This coat is really warm.,暖[あたた]かい,このコートはとても<b> 暖[あたた]かい</b>。,このコートはとても<b>（　）</b>。
98,見つける,みつける,find,新しい仕事を<b>見つけました</b>。,あたらしい しごと を <b>みつけました</b>。,I found a new job.,見[み]つける,新[あたら]しい 仕事[しごと]を<b> 見[み]つけました</b>。,新[あたら]しい 仕事[しごと]を<b>（　）</b>。
99,テーブル,テーブル,table,新しい<b>テーブル</b>を買いました。,あたらしい <b>てーぶる</b> を かいました,I bought a new table.,テーブル,新[あたら]しい<b>テーブル</b>を 買[か]いました。,新[あたら]しい<b>（　）</b>を 買[か]いました。
100,古い,ふるい,old,私は<b>古い</b>車が好きです。,わたし は <b>ふるい</b> くるま が すき です,I like old cars.,古[ふる]い,私[わたし]は<b> 古[ふる]い</b> 車[くるま]が 好[す]きです。,私[わたし]は<b>（　）</b> 車[くるま]が 好[す]きです。
101,悪い,わるい,bad,たばこは体に<b>悪い</b>。,たばこ は からだ に <b>わるい</b>,Cigarettes are bad for your health.,悪[わる]い,たばこは 体[からだ]に<b> 悪[わる]い</b>。,たばこは 体[からだ]に<b>（　）</b>。
102,思う,おもう,think,私もそう<b>思います</b>。,わたし も そう <b>おもいます</b>,I think so too.,思[おも]う,私[わたし]もそう<b> 思[おも]います</b>。,私[わたし]もそう<b>（　）</b>。
103,そう,そう,"in such manner, that way",私も<b>そう</b>思います。,わたし も <b>そう</b> おもいます,That's what I think too.,そう,私[わたし]も<b>そう</b> 思[おも]います。,私[わたし]も<b>（　）</b> 思[おも]います。
104,どう,どう,"how, what",あなたは<b>どう</b>思いますか。,あなた は <b>どう</b> おもいます か,What do you think?,どう,あなたは<b>どう</b> 思[おも]いますか。,あなたは<b>（　）</b> 思[おも]いますか。
105,考える,かんがえる,"think, consider",よく<b>考えて</b>ください。,よく <b>かんがえて</b> ください,Please think carefully.,考[かんが]える,よく<b> 考[かんが]えて</b>ください。,よく<b>（　）</b>ください。
106,決める,きめる,"decide, agree upon",帰国することに<b>決めました</b>。,きこく する こと に <b>きめました</b>,I've decided to go back to my country.,決[き]める,帰国[きこく]することに<b> 決[き]めました</b>。,帰国[きこく]することに<b>（　）</b>。
107,高い,たかい,"high, tall",これがこの町で一番<b>高い</b>ビルです。,これ が この まち で いちばん <b>たかい</b> びる です,This is the tallest building in town.,高[たか]い,これがこの 町[まち]で 一番[いちばん]<b> 高[たか]い</b>ビルです。,これがこの 町[まち]で 一番[いちばん]<b>（　）</b>ビルです。
108,多い,おおい,lots of,京都にはお寺が<b>多い</b>。,きょうと に は おてら が <b>おおい</b>,There are a lot of temples in Kyoto.,多[おお]い,京都[きょうと]にはお 寺[てら]が<b> 多[おお]い</b>。,京都[きょうと]にはお 寺[てら]が<b>（　）</b>。
109,午後,ごご,"afternoon, p.m.",明日の<b>午後</b>、お客様が来る。,あす の <b>ごご</b> おきゃくさま が くる,A guest is coming to visit tomorrow afternoon.,午後[ごご],明日[あす]の<b> 午後[ごご]</b>、お 客様[きゃくさま]が 来[く]る。,明日[あす]の<b>（　）</b>、お 客様[きゃくさま]が 来[く]る。
110,重い,おもい,heavy,このかばんは<b>重い</b>です。,この かばん は <b>おもい</b> です,This bag is heavy.,重[おも]い,このかばんは<b> 重[おも]い</b>です。,このかばんは<b>（　）</b>です。
